,begin_dateTime_mpt,block_price,System Capability,asset_ID
66604,2023-01-01 00:00:00,0.0,868.0,EGC1
66605,2023-01-01 01:00:00,0.0,868.0,EGC1
66606,2023-01-01 02:00:00,0.0,868.0,EGC1
66607,2023-01-01 03:00:00,0.0,868.0,EGC1
66608,2023-01-01 04:00:00,0.0,868.0,EGC1
66609,2023-01-01 05:00:00,0.0,868.0,EGC1
66610,2023-01-01 06:00:00,0.0,868.0,EGC1
66611,2023-01-01 07:00:00,0.0,868.0,EGC1
66627,2023-01-01 23:00:00,0.0,868.0,EGC1
66628,2023-01-02 00:00:00,0.0,868.0,EGC1
66629,2023-01-02 01:00:00,0.0,868.0,EGC1
66630,2023-01-02 02:00:00,0.0,868.0,EGC1
66631,2023-01-02 03:00:00,0.0,868.0,EGC1
66632,2023-01-02 04:00:00,0.0,868.0,EGC1
66633,2023-01-02 05:00:00,0.0,868.0,EGC1
66634,2023-01-02 06:00:00,0.0,868.0,EGC1
66635,2023-01-02 07:00:00,0.0,868.0,EGC1
66651,2023-01-02 23:00:00,0.0,868.0,EGC1
66652,2023-01-03 00:00:00,0.0,868.0,EGC1
66653,2023-01-03 01:00:00,0.0,868.0,EGC1
66654,2023-01-03 02:00:00,0.0,868.0,EGC1
66655,2023-01-03 03:00:00,0.0,868.0,EGC1
66656,2023-01-03 04:00:00,0.0,868.0,EGC1
66657,2023-01-03 05:00:00,0.0,868.0,EGC1
66658,2023-01-03 06:00:00,0.0,868.0,EGC1
66659,2023-01-03 07:00:00,0.0,868.0,EGC1
66675,2023-01-03 23:00:00,0.0,868.0,EGC1
66676,2023-01-04 00:00:00,0.0,868.0,EGC1
66677,2023-01-04 01:00:00,0.0,868.0,EGC1
66678,2023-01-04 02:00:00,0.0,868.0,EGC1
66679,2023-01-04 03:00:00,0.0,868.0,EGC1
66680,2023-01-04 04:00:00,0.0,868.0,EGC1
66681,2023-01-04 05:00:00,0.0,868.0,EGC1
66682,2023-01-04 06:00:00,0.0,868.0,EGC1
66683,2023-01-04 07:00:00,0.0,868.0,EGC1
66699,2023-01-04 23:00:00,0.0,868.0,EGC1
66700,2023-01-05 00:00:00,0.0,868.0,EGC1
66701,2023-01-05 01:00:00,0.0,868.0,EGC1
66702,2023-01-05 02:00:00,0.0,868.0,EGC1
66703,2023-01-05 03:00:00,0.0,868.0,EGC1
66704,2023-01-05 04:00:00,0.0,868.0,EGC1
66705,2023-01-05 05:00:00,0.0,868.0,EGC1
66706,2023-01-05 06:00:00,0.0,868.0,EGC1
66707,2023-01-05 07:00:00,0.0,868.0,EGC1
66723,2023-01-05 23:00:00,0.0,868.0,EGC1
66724,2023-01-06 00:00:00,0.0,868.0,EGC1
66725,2023-01-06 01:00:00,0.0,868.0,EGC1
66726,2023-01-06 02:00:00,0.0,868.0,EGC1
66727,2023-01-06 03:00:00,0.0,868.0,EGC1
66728,2023-01-06 04:00:00,0.0,868.0,EGC1
66729,2023-01-06 05:00:00,0.0,868.0,EGC1
66730,2023-01-06 06:00:00,0.0,868.0,EGC1
66731,2023-01-06 07:00:00,0.0,868.0,EGC1
66747,2023-01-06 23:00:00,0.0,868.0,EGC1
66748,2023-01-07 00:00:00,0.0,868.0,EGC1
66749,2023-01-07 01:00:00,0.0,868.0,EGC1
66750,2023-01-07 02:00:00,0.0,868.0,EGC1
66751,2023-01-07 03:00:00,0.0,868.0,EGC1
66752,2023-01-07 04:00:00,0.0,868.0,EGC1
66753,2023-01-07 05:00:00,0.0,868.0,EGC1
66754,2023-01-07 06:00:00,0.0,868.0,EGC1
66755,2023-01-07 07:00:00,0.0,868.0,EGC1
66771,2023-01-07 23:00:00,0.0,868.0,EGC1
66772,2023-01-08 00:00:00,0.0,868.0,EGC1
66773,2023-01-08 01:00:00,0.0,868.0,EGC1
66774,2023-01-08 02:00:00,0.0,868.0,EGC1
66775,2023-01-08 03:00:00,0.0,868.0,EGC1
66776,2023-01-08 04:00:00,0.0,868.0,EGC1
66777,2023-01-08 05:00:00,0.0,868.0,EGC1
66778,2023-01-08 06:00:00,0.0,868.0,EGC1
66779,2023-01-08 07:00:00,0.0,868.0,EGC1
66795,2023-01-08 23:00:00,0.0,868.0,EGC1
66796,2023-01-09 00:00:00,0.0,868.0,EGC1
66797,2023-01-09 01:00:00,0.0,868.0,EGC1
66798,2023-01-09 02:00:00,0.0,868.0,EGC1
66799,2023-01-09 03:00:00,0.0,868.0,EGC1
66800,2023-01-09 04:00:00,0.0,868.0,EGC1
66801,2023-01-09 05:00:00,0.0,868.0,EGC1
66802,2023-01-09 06:00:00,0.0,868.0,EGC1
66803,2023-01-09 07:00:00,0.0,868.0,EGC1
66819,2023-01-09 23:00:00,0.0,868.0,EGC1
66820,2023-01-10 00:00:00,0.0,868.0,EGC1
66821,2023-01-10 01:00:00,0.0,868.0,EGC1
66822,2023-01-10 02:00:00,0.0,868.0,EGC1
66823,2023-01-10 03:00:00,0.0,868.0,EGC1
66824,2023-01-10 04:00:00,0.0,868.0,EGC1
66825,2023-01-10 05:00:00,0.0,868.0,EGC1
66826,2023-01-10 06:00:00,0.0,868.0,EGC1
66827,2023-01-10 07:00:00,0.0,868.0,EGC1
66843,2023-01-10 23:00:00,0.0,868.0,EGC1
66844,2023-01-11 00:00:00,0.0,868.0,EGC1
66845,2023-01-11 01:00:00,0.0,868.0,EGC1
66846,2023-01-11 02:00:00,0.0,868.0,EGC1
66847,2023-01-11 03:00:00,0.0,868.0,EGC1
66848,2023-01-11 04:00:00,0.0,868.0,EGC1
66849,2023-01-11 05:00:00,0.0,868.0,EGC1
66850,2023-01-11 06:00:00,0.0,868.0,EGC1
66851,2023-01-11 07:00:00,0.0,868.0,EGC1
66867,2023-01-11 23:00:00,0.0,868.0,EGC1
66868,2023-01-12 00:00:00,0.0,868.0,EGC1
66869,2023-01-12 01:00:00,0.0,868.0,EGC1
66870,2023-01-12 02:00:00,0.0,868.0,EGC1
66871,2023-01-12 03:00:00,0.0,868.0,EGC1
66872,2023-01-12 04:00:00,0.0,868.0,EGC1
66873,2023-01-12 05:00:00,0.0,868.0,EGC1
66874,2023-01-12 06:00:00,0.0,868.0,EGC1
66875,2023-01-12 07:00:00,0.0,868.0,EGC1
66891,2023-01-12 23:00:00,0.0,868.0,EGC1
66892,2023-01-13 00:00:00,0.0,868.0,EGC1
66893,2023-01-13 01:00:00,0.0,868.0,EGC1
66894,2023-01-13 02:00:00,0.0,868.0,EGC1
66895,2023-01-13 03:00:00,0.0,868.0,EGC1
66896,2023-01-13 04:00:00,0.0,868.0,EGC1
66897,2023-01-13 05:00:00,0.0,868.0,EGC1
66898,2023-01-13 06:00:00,0.0,868.0,EGC1
66899,2023-01-13 07:00:00,0.0,868.0,EGC1
66915,2023-01-13 23:00:00,0.0,868.0,EGC1
66916,2023-01-14 00:00:00,0.0,868.0,EGC1
66917,2023-01-14 01:00:00,0.0,868.0,EGC1
66918,2023-01-14 02:00:00,0.0,868.0,EGC1
66919,2023-01-14 03:00:00,0.0,868.0,EGC1
66920,2023-01-14 04:00:00,0.0,868.0,EGC1
66921,2023-01-14 05:00:00,0.0,868.0,EGC1
66922,2023-01-14 06:00:00,0.0,868.0,EGC1
66923,2023-01-14 07:00:00,0.0,868.0,EGC1
66939,2023-01-14 23:00:00,0.0,868.0,EGC1
66940,2023-01-15 00:00:00,0.0,868.0,EGC1
66941,2023-01-15 01:00:00,0.0,868.0,EGC1
66942,2023-01-15 02:00:00,0.0,868.0,EGC1
66943,2023-01-15 03:00:00,0.0,868.0,EGC1
66944,2023-01-15 04:00:00,0.0,868.0,EGC1
66945,2023-01-15 05:00:00,0.0,868.0,EGC1
66946,2023-01-15 06:00:00,0.0,868.0,EGC1
66947,2023-01-15 07:00:00,0.0,868.0,EGC1
66963,2023-01-15 23:00:00,0.0,868.0,EGC1
66964,2023-01-16 00:00:00,0.0,868.0,EGC1
66965,2023-01-16 01:00:00,0.0,868.0,EGC1
66966,2023-01-16 02:00:00,0.0,868.0,EGC1
66967,2023-01-16 03:00:00,0.0,868.0,EGC1
66968,2023-01-16 04:00:00,0.0,868.0,EGC1
66969,2023-01-16 05:00:00,0.0,868.0,EGC1
66970,2023-01-16 06:00:00,0.0,868.0,EGC1
66971,2023-01-16 07:00:00,0.0,868.0,EGC1
66987,2023-01-16 23:00:00,0.0,868.0,EGC1
66988,2023-01-17 00:00:00,0.0,868.0,EGC1
66989,2023-01-17 01:00:00,0.0,868.0,EGC1
66990,2023-01-17 02:00:00,0.0,868.0,EGC1
66991,2023-01-17 03:00:00,0.0,868.0,EGC1
66992,2023-01-17 04:00:00,0.0,868.0,EGC1
66993,2023-01-17 05:00:00,0.0,868.0,EGC1
66994,2023-01-17 06:00:00,0.0,868.0,EGC1
66995,2023-01-17 07:00:00,0.0,868.0,EGC1
67011,2023-01-17 23:00:00,0.0,868.0,EGC1
67012,2023-01-18 00:00:00,0.0,868.0,EGC1
67013,2023-01-18 01:00:00,0.0,868.0,EGC1
67014,2023-01-18 02:00:00,0.0,868.0,EGC1
67015,2023-01-18 03:00:00,0.0,868.0,EGC1
67016,2023-01-18 04:00:00,0.0,868.0,EGC1
67017,2023-01-18 05:00:00,0.0,868.0,EGC1
67018,2023-01-18 06:00:00,0.0,868.0,EGC1
67019,2023-01-18 07:00:00,0.0,868.0,EGC1
67035,2023-01-18 23:00:00,0.0,868.0,EGC1
67036,2023-01-19 00:00:00,0.0,868.0,EGC1
67037,2023-01-19 01:00:00,0.0,868.0,EGC1
