,begin_dateTime_mpt,block_price,System Capability,asset_ID
88379,2023-04-01 00:00:00,0.0,73.0,FNG1
88380,2023-04-01 01:00:00,0.0,73.0,FNG1
88381,2023-04-01 02:00:00,0.0,73.0,FNG1
88382,2023-04-01 03:00:00,0.0,73.0,FNG1
88383,2023-04-01 04:00:00,0.0,73.0,FNG1
88384,2023-04-01 05:00:00,0.0,73.0,FNG1
88385,2023-04-01 06:00:00,0.0,73.0,FNG1
88386,2023-04-01 07:00:00,0.0,73.0,FNG1
88402,2023-04-01 23:00:00,0.0,73.0,FNG1
88403,2023-04-02 00:00:00,0.0,73.0,FNG1
88404,2023-04-02 01:00:00,0.0,73.0,FNG1
88405,2023-04-02 02:00:00,0.0,73.0,FNG1
88406,2023-04-02 03:00:00,0.0,73.0,FNG1
88407,2023-04-02 04:00:00,0.0,73.0,FNG1
88408,2023-04-02 05:00:00,0.0,73.0,FNG1
88409,2023-04-02 06:00:00,0.0,73.0,FNG1
88410,2023-04-02 07:00:00,0.0,73.0,FNG1
88426,2023-04-02 23:00:00,0.0,73.0,FNG1
88427,2023-04-03 00:00:00,0.0,73.0,FNG1
88428,2023-04-03 01:00:00,0.0,73.0,FNG1
88429,2023-04-03 02:00:00,0.0,73.0,FNG1
88430,2023-04-03 03:00:00,0.0,73.0,FNG1
88431,2023-04-03 04:00:00,0.0,73.0,FNG1
88432,2023-04-03 05:00:00,0.0,73.0,FNG1
88433,2023-04-03 06:00:00,0.0,73.0,FNG1
88434,2023-04-03 07:00:00,0.0,73.0,FNG1
88450,2023-04-03 23:00:00,0.0,73.0,FNG1
88451,2023-04-04 00:00:00,0.0,73.0,FNG1
88452,2023-04-04 01:00:00,0.0,73.0,FNG1
88453,2023-04-04 02:00:00,0.0,73.0,FNG1
88454,2023-04-04 03:00:00,0.0,73.0,FNG1
88455,2023-04-04 04:00:00,0.0,73.0,FNG1
88456,2023-04-04 05:00:00,0.0,73.0,FNG1
88457,2023-04-04 06:00:00,0.0,73.0,FNG1
88458,2023-04-04 07:00:00,0.0,73.0,FNG1
88474,2023-04-04 23:00:00,0.0,73.0,FNG1
88475,2023-04-05 00:00:00,0.0,73.0,FNG1
88476,2023-04-05 01:00:00,0.0,73.0,FNG1
88477,2023-04-05 02:00:00,0.0,73.0,FNG1
88478,2023-04-05 03:00:00,0.0,73.0,FNG1
88479,2023-04-05 04:00:00,0.0,73.0,FNG1
88480,2023-04-05 05:00:00,0.0,73.0,FNG1
88481,2023-04-05 06:00:00,0.0,73.0,FNG1
88482,2023-04-05 07:00:00,0.0,73.0,FNG1
88498,2023-04-05 23:00:00,0.0,73.0,FNG1
88499,2023-04-06 00:00:00,0.0,73.0,FNG1
88500,2023-04-06 01:00:00,0.0,73.0,FNG1
88501,2023-04-06 02:00:00,0.0,73.0,FNG1
88502,2023-04-06 03:00:00,0.0,73.0,FNG1
88503,2023-04-06 04:00:00,0.0,73.0,FNG1
88504,2023-04-06 05:00:00,0.0,73.0,FNG1
88505,2023-04-06 06:00:00,0.0,73.0,FNG1
88506,2023-04-06 07:00:00,0.0,73.0,FNG1
88522,2023-04-06 23:00:00,0.0,73.0,FNG1
88523,2023-04-07 00:00:00,0.0,73.0,FNG1
88524,2023-04-07 01:00:00,0.0,73.0,FNG1
