,begin_dateTime_mpt,block_price,System Capability,asset_ID
91983,2023-04-01 00:00:00,0.0,120.0,NX01
91984,2023-04-01 01:00:00,0.0,120.0,NX01
91985,2023-04-01 02:00:00,0.0,120.0,NX01
91986,2023-04-01 03:00:00,0.0,120.0,NX01
91987,2023-04-01 04:00:00,0.0,120.0,NX01
91988,2023-04-01 05:00:00,0.0,120.0,NX01
91989,2023-04-01 06:00:00,0.0,120.0,NX01
91990,2023-04-01 07:00:00,0.0,120.0,NX01
92006,2023-04-01 23:00:00,0.0,120.0,NX01
92007,2023-04-02 00:00:00,0.0,120.0,NX01
92008,2023-04-02 01:00:00,0.0,120.0,NX01
92009,2023-04-02 02:00:00,0.0,120.0,NX01
92010,2023-04-02 03:00:00,0.0,120.0,NX01
92011,2023-04-02 04:00:00,0.0,120.0,NX01
92012,2023-04-02 05:00:00,0.0,120.0,NX01
92013,2023-04-02 06:00:00,0.0,120.0,NX01
92014,2023-04-02 07:00:00,0.0,120.0,NX01
92030,2023-04-02 23:00:00,0.0,120.0,NX01
92031,2023-04-03 00:00:00,0.0,120.0,NX01
92032,2023-04-03 01:00:00,0.0,120.0,NX01
92033,2023-04-03 02:00:00,0.0,120.0,NX01
92034,2023-04-03 03:00:00,0.0,120.0,NX01
92035,2023-04-03 04:00:00,0.0,120.0,NX01
92036,2023-04-03 05:00:00,0.0,120.0,NX01
92037,2023-04-03 06:00:00,0.0,120.0,NX01
92038,2023-04-03 07:00:00,0.0,120.0,NX01
92054,2023-04-03 23:00:00,0.0,120.0,NX01
92055,2023-04-04 00:00:00,0.0,120.0,NX01
92056,2023-04-04 01:00:00,0.0,120.0,NX01
92057,2023-04-04 02:00:00,0.0,120.0,NX01
92058,2023-04-04 03:00:00,0.0,120.0,NX01
92059,2023-04-04 04:00:00,0.0,120.0,NX01
92060,2023-04-04 05:00:00,0.0,120.0,NX01
92061,2023-04-04 06:00:00,0.0,120.0,NX01
92062,2023-04-04 07:00:00,0.0,120.0,NX01
92078,2023-04-04 23:00:00,0.0,120.0,NX01
92079,2023-04-05 00:00:00,0.0,120.0,NX01
92080,2023-04-05 01:00:00,0.0,120.0,NX01
92081,2023-04-05 02:00:00,0.0,120.0,NX01
92082,2023-04-05 03:00:00,0.0,120.0,NX01
92083,2023-04-05 04:00:00,0.0,120.0,NX01
92084,2023-04-05 05:00:00,0.0,120.0,NX01
92085,2023-04-05 06:00:00,0.0,120.0,NX01
92086,2023-04-05 07:00:00,0.0,120.0,NX01
92102,2023-04-05 23:00:00,0.0,120.0,NX01
92103,2023-04-06 00:00:00,0.0,120.0,NX01
92104,2023-04-06 01:00:00,0.0,120.0,NX01
92105,2023-04-06 02:00:00,0.0,120.0,NX01
92106,2023-04-06 03:00:00,0.0,120.0,NX01
92107,2023-04-06 04:00:00,0.0,120.0,NX01
92108,2023-04-06 05:00:00,0.0,120.0,NX01
92109,2023-04-06 06:00:00,0.0,120.0,NX01
92110,2023-04-06 07:00:00,0.0,120.0,NX01
