,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,AESO Decarbonization Scenario Modeling Results,,,,,,,,,,,,,,,,,,,,,
1,Capacity Additions,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,Decarbonization by 2050,,,,,,,,,,,,,,,,,,,,,
7,"Total Capacity Additions, MW",2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0
8,Cogeneration Natural Gas,0.0,851.0,90.0,0.0,45.0,45.0,90.0,90.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Combined-Cycle Natural Gas,900.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.3,0.0,0.0,0.0,0.0
10,Simple-Cycle Natural Gas,832.8,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,0.0,93.0,232.6,0.0,47.5,0.0,0.0
11,Combined-Cycle CCS Retrofit,0.0,0.0,0.0,0.0,0.0,932.0,811.2,782.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Cogeneration Hydrogen,0.0,93.0,0.0,93.0,0.0,46.5,0.0,93.0,0.0,93.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0
13,Combined-Cycle Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.3,0.0,418.3,0.0
14,Wind,1072.2,756.0,200.0,200.0,200.0,200.0,200.0,700.0,200.0,200.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Solar,1042.8,694.6,500.0,500.0,200.0,200.0,200.0,200.0,200.0,200.0,250.0,150.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Storage,120.0,56.5,153.5,150.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,150.0,150.0,50.0,0.0,0.0,0.0
17,Nuclear SMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
18,,,,,,,,,,,,,,,,,,,,,,
19,Decarbonization by 2035,,,,,,,,,,,,,,,,,,,,,
20,"Total Capacity Additions, MW",2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0
21,Cogeneration Natural Gas,0.0,851.0,90.0,0.0,45.0,45.0,90.0,90.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Combined-Cycle Natural Gas,900.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Simple-Cycle Natural Gas,832.8,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Combined-Cycle CCS Retrofit,0.0,0.0,0.0,0.0,0.0,1014.7,782.2,811.2,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Cogeneration Hydrogen,0.0,93.0,0.0,93.0,0.0,46.5,0.0,93.0,0.0,93.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0
26,Combined-Cycle Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.3,418.3,418.3,418.3,418.3,0.0,0.0
27,Wind,1072.2,756.0,200.0,200.0,200.0,200.0,200.0,500.0,200.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Solar,1042.8,694.6,500.0,500.0,200.0,200.0,200.0,200.0,200.0,200.0,250.0,150.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Storage,120.0,56.5,153.5,150.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,150.0,150.0,50.0,0.0,0.0,0.0
30,Nuclear SMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
