,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,AESO Decarbonization Scenario Modeling Results,,,,,,,,,,,,,,,,,,,,,
1,Generation Forecast,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
5,Million Tonnes CO2e,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0
6,Decarbonization by 2035,16.27759004492187,12.75021288574218,11.28684310644531,9.38839286791992,8.831053185791008,6.86713584912109,4.688111377441405,2.86434016430664,2.11873603540039,1.499738703002929,1.3547382869873046,1.2219091779785145,1.0579673825695701,1.1590857895507811,0.9704883460699095,0.849336897705078,0.8406706521008365,0.7529740947277015,0.7358482519531248,0.5759821474609375,0.5946471250006741
7,Decarbonization by 2050,16.144638125,12.49591638085937,10.9865530703125,9.52485399023437,8.769278478515622,7.05403756054687,4.445406296386709,2.428769709106444,2.5057896647949214,1.9437879748535152,2.0530462778320313,1.8762120422363282,2.013231021972656,1.9763784895019532,2.781870755371093,2.000403936279296,2.2326062203521717,2.308472571533203,2.375147873046875,2.331137260742187,2.168494513671875
8,,,,,,,,,,,,,,,,,,,,,,
9,Emissions above do not include emissions from Cogeneration,,,,,,,,,,,,,,,,,,,,,
