,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,AESO Decarbonization Scenario Modeling Results,,,,,,,,,,,,,,,,,,,,,
1,Intertie and Import/Export Assumptions,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,Decarbonization by 2050,,,,,,,,,,,,,,,,,,,,,
7,,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0
8,"Intertie Capacity (ATC), MW",1158.4818,1158.5898,1158.4818,1158.4818,1158.4818,1158.5898,1158.4818,1546.0161000000003,1546.0161000000003,1546.1582,1546.0161000000003,1546.0161000000003,1546.0161000000003,1546.1582,1546.0161000000003,1546.0161000000003,1546.0161000000003,1546.1582,1546.0161000000003,1546.0161000000003,1546.0161000000003
9,"Imports, MWh",2179613.673706055,1312190.956054688,1100925.7250976567,1480710.67565918,1545997.1099853516,1238116.8361816406,1211577.533569336,968840.2139282225,858590.1416015625,1059166.023925781,1105051.8246459959,1212775.45715332,1369880.689086914,1623602.091796875,1613452.2912597659,2346659.853515625,2444015.672607422,2600320.5395507812,3016078.319091797,3516819.4665527344,3886655.44921875
10,"Exports, MWh",1863119.3756103516,3572444.0610351562,4382103.3837890625,4093187.5268554683,4099185.966796875,4913491.025390625,5278664.5751953125,8457045.900878906,8795304.660644533,8072568.9140625,8187308.583984375,7711571.184082031,7331828.605957031,6920516.5400390625,6965445.241699219,5858545.13671875,5518965.212402344,5255202.2431640625,4765315.422363281,4087130.2734375,3830540.7092285156
11,,,,,,,,,,,,,,,,,,,,,,
12,Decarbonization by 2035,,,,,,,,,,,,,,,,,,,,,
13,,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0
14,"Intertie Capacity (ATC), MW",1158.4818,1158.5898,1158.4818,1158.4818,1158.4818,1158.5898,1158.4818,1546.0161000000003,1546.0161000000003,1546.1582,1546.0161000000003,1546.0161000000003,1546.0161000000003,1546.1582,1546.0161000000003,1546.0161000000003,1546.0161000000003,1546.1582,1546.0161000000003,1546.0161000000003,1546.0161000000003
15,"Imports, MWh",2168225.7806396484,1136375.850585938,916390.7565307617,1429771.9226074216,1393635.1849365234,1319023.164550781,1139871.6082763674,947081.6336059567,851000.5966186523,1140708.4738769534,1306141.4501953125,1644384.169921875,2683959.9536132817,2954590.936523438,3055615.411376953,3921430.7885742183,4034110.9936523433,4137003.1713867188,4349668.018798828,4197928.981933593,4717239.6826171875
16,"Exports, MWh",1879948.18359375,3760287.57421875,4554350.947265625,4150974.9755859375,4174620.6665039067,4526218.705078125,5198502.341308594,8235616.369628906,8401282.705078125,7296983.6396484375,6367876.259765625,5237052.971191406,3537807.8576660156,3428292.9594726562,3292419.854736328,2881150.0451660156,2743689.8510742183,2691612.1625976562,2532336.9396972656,2820851.260986328,2495218.41796875
