,begin_dateTime_mpt,asset_ID,block_price,offer_control
42328,2023-04-01 00:00:00,CMH1,999.99,City of Medicine Hat
42329,2023-04-01 00:00:00,CAL1,915.0,Calgary Energy Centre No. 2 Inc.
42330,2023-04-01 00:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
42331,2023-04-01 00:00:00,EGC1,855.55,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
42332,2023-04-01 00:00:00,EC01,401.0,ENMAX Cavalier LP
42333,2023-04-01 00:00:00,CAL1,350.15,Calgary Energy Centre No. 2 Inc.
42334,2023-04-01 00:00:00,CMH1,140.0,City of Medicine Hat
42335,2023-04-01 00:00:00,CMH1,100.0,City of Medicine Hat
42336,2023-04-01 00:00:00,CMH1,70.0,City of Medicine Hat
42337,2023-04-01 00:00:00,EGC1,49.74,Capital Power GP Holdings Inc.
42338,2023-04-01 00:00:00,EGC1,48.89,Capital Power GP Holdings Inc.
42339,2023-04-01 00:00:00,CMH1,35.0,City of Medicine Hat
42340,2023-04-01 00:00:00,CMH1,30.65,City of Medicine Hat
42341,2023-04-01 00:00:00,EC01,26.66,ENMAX Cavalier LP
42342,2023-04-01 00:00:00,CAL1,20.96,Calgary Energy Centre No. 2 Inc.
42343,2023-04-01 00:00:00,CAL1,20.94,Calgary Energy Centre No. 2 Inc.
42344,2023-04-01 00:00:00,EGC1,20.15,ENMAX Energy Corporation
42345,2023-04-01 00:00:00,EGC1,18.64,ENMAX Energy Corporation
42346,2023-04-01 00:00:00,EGC1,18.44,ENMAX Energy Corporation
42347,2023-04-01 00:00:00,EC01,0.0,ENMAX Cavalier LP
42348,2023-04-01 00:00:00,FNG1,0.0,Powerex Corp.
42349,2023-04-01 00:00:00,NX01,0.0,Nexen Inc.
42350,2023-04-01 00:00:00,CAL1,0.0,Calgary Energy Centre No. 2 Inc.
42351,2023-04-01 00:00:00,CMH1,0.0,City of Medicine Hat
42352,2023-04-01 00:00:00,EGC1,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
42353,2023-04-01 01:00:00,CMH1,999.99,City of Medicine Hat
42354,2023-04-01 01:00:00,CAL1,915.0,Calgary Energy Centre No. 2 Inc.
42355,2023-04-01 01:00:00,CAL1,905.0,Calgary Energy Centre No. 2 Inc.
42356,2023-04-01 01:00:00,EGC1,855.55,Capital Power GP Holdings Inc.; ENMAX Energy Corporation
42357,2023-04-01 01:00:00,EC01,401.0,ENMAX Cavalier LP
42358,2023-04-01 01:00:00,CAL1,401.0,Calgary Energy Centre No. 2 Inc.
42359,2023-04-01 01:00:00,CMH1,140.0,City of Medicine Hat
42360,2023-04-01 01:00:00,CMH1,100.0,City of Medicine Hat
42361,2023-04-01 01:00:00,CMH1,70.0,City of Medicine Hat
