,import_or_export,asset_ID,block_number,block_price,from_MW,to_MW,block_size,available_MW,dispatched?,dispatched_MW,flexible?,offer_control
0,,BHL1,1,999.99,3,5,2,2,N,0,Y,URICA Asset Optimization Ltd.
1,,COD1,1,999.99,3,5,2,2,N,0,Y,Signalta Resources Limited
2,,GEN5,2,999.99,10,12,2,2,N,0,Y,URICA Asset Optimization Ltd.
3,,ME04,1,999.99,4,6,2,2,N,0,Y,URICA Asset Optimization Ltd.
4,,BFD1,1,999.99,3,6,3,3,N,0,N,BTG Power Corp.
5,,ALP1,1,999.99,4,7,3,3,N,0,Y,Campus Energy Partners LP
6,,ME03,1,999.99,4,7,3,3,N,0,Y,URICA Asset Optimization Ltd.
7,,ME02,1,999.99,4,8,4,4,N,0,Y,URICA Asset Optimization Ltd.
8,,ALP2,1,999.99,5,10,5,5,N,0,Y,Campus Energy Partners LP
9,,SDH1,1,999.99,5,10,5,5,N,0,Y,Tourmaline Oil Corp.
10,,CMH1,6,999.99,266,275,9,9,N,0,N,City of Medicine Hat
11,,BR5,6,999.99,385,395,10,0,N,0,Y,Heartland Generation Ltd.
12,,ERV2,1,999.99,5,18,13,0,N,0,Y,URICA Asset Optimization Ltd.
13,,SCR6,1,999.99,445,460,15,9,N,0,Y,Suncor Energy Inc.
14,,ERV1,1,999.99,4,20,16,0,N,0,Y,URICA Asset Optimization Ltd.
15,,GRZ1,1,999.99,0,26,26,26,N,0,N,Wild Run LP
16,E,MGXM,0,999.99,0,63,63,63,Y,63,Y,MAG Energy Solutions Inc.
17,E,PW20,0,999.99,0,435,435,435,Y,435,Y,Powerex Corp.
18,,CRS3,2,999.91,31,43,12,2,N,0,Y,ENMAX Generation Portfolio Inc.
19,,CRS3,1,999.90,0,31,31,31,N,0,N,ENMAX Generation Portfolio Inc.
20,,BOW1,6,999.89,146,228,82,28,N,0,Y,TransAlta Energy Marketing Corp.
21,,SUM1,2,999.50,5,10,5,0,N,0,Y,TransAlta Corporation
22,,SUM1,1,999.25,0,5,5,0,N,0,Y,TransAlta Corporation
23,,CCMH,3,999.00,29,32,3,3,N,0,Y,Cancarb Ltd.
24,,WWD1,1,999.00,5,10,5,5,N,0,N,West Fraser Mills Ltd.
25,,BRA,6,998.99,239,350,111,0,N,0,Y,TransAlta Energy Marketing Corp.
26,,VVW1,1,996.28,0,47,47,17,N,0,N,Heartland Generation Ltd.
27,,BRA,5,994.16,177,239,62,62,N,0,Y,TransAlta Energy Marketing Corp.
28,,BRA,4,993.75,117,177,60,60,N,0,Y,TransAlta Energy Marketing Corp.
29,,BRA,3,992.62,80,117,37,37,N,0,Y,TransAlta Energy Marketing Corp.
30,,BRA,2,991.56,40,80,40,40,N,0,Y,TransAlta Energy Marketing Corp.
31,,BRA,1,990.50,0,40,40,40,N,0,Y,TransAlta Energy Marketing Corp.
32,,VVW2,1,990.14,0,47,47,47,N,0,N,Heartland Generation Ltd.
33,,CRS2,2,965.23,40,42,2,2,N,0,Y,ENMAX Generation Portfolio Inc.
34,,CRS2,1,955.00,0,40,40,40,N,0,N,ENMAX Generation Portfolio Inc.
35,,BOW1,4,924.41,134,146,12,12,N,0,Y,TransAlta Energy Marketing Corp.
36,,BOW1,3,915.95,96,134,38,38,N,0,Y,TransAlta Energy Marketing Corp.
37,,BOW1,2,907.80,79,96,17,17,N,0,Y,TransAlta Energy Marketing Corp.
38,,HRV1,1,900.00,5,10,5,5,N,0,Y,URICA Asset Optimization Ltd.
39,,SH2,6,871.82,350,400,50,50,N,0,Y,TransAlta Cogeneration LP
40,,SD6,6,776.06,342,401,59,0,N,0,Y,TransAlta Generation Partnership
41,,BOW1,1,741.42,43,79,36,36,N,0,Y,TransAlta Energy Marketing Corp.
42,,KH2,6,739.73,280,395,115,115,N,0,N,TransAlta Generation Partnership
