,begin_dateTime_mpt,block_price,System Capability,asset_ID
12,2023-01-07 07:00:00,30.3,330.0,CAL1
13,2023-01-07 07:00:00,29.3,330.0,CAL1
14,2023-01-07 07:00:00,28.3,330.0,CAL1
15,2023-01-07 07:00:00,0.0,330.0,CAL1
123,2023-01-08 07:00:00,910.0,330.0,CAL1
124,2023-01-08 07:00:00,905.0,330.0,CAL1
125,2023-01-08 07:00:00,30.94,330.0,CAL1
126,2023-01-08 07:00:00,29.94,330.0,CAL1
127,2023-01-08 07:00:00,28.94,330.0,CAL1
128,2023-01-08 07:00:00,0.0,330.0,CAL1
267,2023-01-09 07:00:00,999.98,330.0,CAL1
268,2023-01-09 07:00:00,999.97,330.0,CAL1
269,2023-01-09 07:00:00,30.94,330.0,CAL1
270,2023-01-09 07:00:00,29.94,330.0,CAL1
271,2023-01-09 07:00:00,28.94,330.0,CAL1
272,2023-01-09 07:00:00,0.0,330.0,CAL1
411,2023-01-10 07:00:00,910.0,330.0,CAL1
412,2023-01-10 07:00:00,905.0,330.0,CAL1
413,2023-01-10 07:00:00,30.95,330.0,CAL1
414,2023-01-10 07:00:00,29.95,330.0,CAL1
415,2023-01-10 07:00:00,28.95,330.0,CAL1
416,2023-01-10 07:00:00,0.0,330.0,CAL1
555,2023-01-11 07:00:00,51.28,330.0,CAL1
556,2023-01-11 07:00:00,44.44,330.0,CAL1
557,2023-01-11 07:00:00,30.94,330.0,CAL1
558,2023-01-11 07:00:00,29.95,330.0,CAL1
559,2023-01-11 07:00:00,28.95,330.0,CAL1
560,2023-01-11 07:00:00,0.0,330.0,CAL1
699,2023-01-12 07:00:00,910.0,330.0,CAL1
700,2023-01-12 07:00:00,905.0,330.0,CAL1
701,2023-01-12 07:00:00,28.29,330.0,CAL1
702,2023-01-12 07:00:00,27.29,330.0,CAL1
703,2023-01-12 07:00:00,26.29,330.0,CAL1
704,2023-01-12 07:00:00,0.0,330.0,CAL1
843,2023-01-13 07:00:00,910.0,330.0,CAL1
844,2023-01-13 07:00:00,905.0,330.0,CAL1
845,2023-01-13 07:00:00,30.04,330.0,CAL1
846,2023-01-13 07:00:00,29.04,330.0,CAL1
847,2023-01-13 07:00:00,28.04,330.0,CAL1
848,2023-01-13 07:00:00,0.0,330.0,CAL1
987,2023-01-14 07:00:00,910.0,330.0,CAL1
988,2023-01-14 07:00:00,905.0,330.0,CAL1
989,2023-01-14 07:00:00,655.55,330.0,CAL1
990,2023-01-14 07:00:00,26.39,330.0,CAL1
991,2023-01-14 07:00:00,25.39,330.0,CAL1
992,2023-01-14 07:00:00,0.0,330.0,CAL1
1131,2023-01-15 07:00:00,910.0,330.0,CAL1
1132,2023-01-15 07:00:00,905.0,330.0,CAL1
1133,2023-01-15 07:00:00,399.99,330.0,CAL1
1134,2023-01-15 07:00:00,29.04,330.0,CAL1
1135,2023-01-15 07:00:00,28.04,330.0,CAL1
1136,2023-01-15 07:00:00,0.0,330.0,CAL1
1275,2023-01-16 07:00:00,910.0,330.0,CAL1
1276,2023-01-16 07:00:00,905.0,330.0,CAL1
1277,2023-01-16 07:00:00,28.36,330.0,CAL1
1278,2023-01-16 07:00:00,27.36,330.0,CAL1
1279,2023-01-16 07:00:00,26.36,330.0,CAL1
1280,2023-01-16 07:00:00,0.0,330.0,CAL1
1419,2023-01-17 07:00:00,49.73,330.0,CAL1
1420,2023-01-17 07:00:00,41.89,330.0,CAL1
1421,2023-01-17 07:00:00,28.1,330.0,CAL1
1422,2023-01-17 07:00:00,27.1,330.0,CAL1
1423,2023-01-17 07:00:00,26.1,330.0,CAL1
1424,2023-01-17 07:00:00,0.0,330.0,CAL1
1563,2023-01-18 07:00:00,999.98,330.0,CAL1
1564,2023-01-18 07:00:00,999.97,330.0,CAL1
1565,2023-01-18 07:00:00,29.78,330.0,CAL1
1566,2023-01-18 07:00:00,28.78,330.0,CAL1
1567,2023-01-18 07:00:00,27.78,330.0,CAL1
1568,2023-01-18 07:00:00,0.0,330.0,CAL1
1707,2023-01-19 07:00:00,999.98,330.0,CAL1
1708,2023-01-19 07:00:00,999.97,330.0,CAL1
1709,2023-01-19 07:00:00,27.97,330.0,CAL1
1710,2023-01-19 07:00:00,26.97,330.0,CAL1
1711,2023-01-19 07:00:00,25.97,330.0,CAL1
1712,2023-01-19 07:00:00,0.0,330.0,CAL1
1851,2023-01-20 07:00:00,999.98,330.0,CAL1
1852,2023-01-20 07:00:00,999.97,330.0,CAL1
1853,2023-01-20 07:00:00,27.78,330.0,CAL1
1854,2023-01-20 07:00:00,26.78,330.0,CAL1
1855,2023-01-20 07:00:00,25.78,330.0,CAL1
1856,2023-01-20 07:00:00,0.0,330.0,CAL1
1995,2023-01-21 07:00:00,999.98,330.0,CAL1
1996,2023-01-21 07:00:00,999.97,330.0,CAL1
1997,2023-01-21 07:00:00,297.15,330.0,CAL1
1998,2023-01-21 07:00:00,26.91,330.0,CAL1
1999,2023-01-21 07:00:00,25.91,330.0,CAL1
2000,2023-01-21 07:00:00,0.0,330.0,CAL1
2139,2023-01-22 07:00:00,999.98,330.0,CAL1
2140,2023-01-22 07:00:00,999.97,330.0,CAL1
2141,2023-01-22 07:00:00,297.15,330.0,CAL1
2142,2023-01-22 07:00:00,24.32,330.0,CAL1
2143,2023-01-22 07:00:00,23.32,330.0,CAL1
2144,2023-01-22 07:00:00,0.0,330.0,CAL1
2283,2023-01-23 07:00:00,999.98,330.0,CAL1
2284,2023-01-23 07:00:00,999.97,330.0,CAL1
2285,2023-01-23 07:00:00,25.19,330.0,CAL1
2286,2023-01-23 07:00:00,24.19,330.0,CAL1
2287,2023-01-23 07:00:00,23.09,330.0,CAL1
2288,2023-01-23 07:00:00,0.0,330.0,CAL1
2427,2023-01-24 07:00:00,925.25,330.0,CAL1
2428,2023-01-24 07:00:00,915.15,330.0,CAL1
2429,2023-01-24 07:00:00,27.52,330.0,CAL1
2430,2023-01-24 07:00:00,26.52,330.0,CAL1
2431,2023-01-24 07:00:00,25.52,330.0,CAL1
2432,2023-01-24 07:00:00,0.0,330.0,CAL1
2571,2023-01-25 07:00:00,925.25,330.0,CAL1
