,begin_dateTime_mpt,block_price,System Capability,asset_ID
24499,2023-01-01 07:00:00,999.99,299.0,CMH1
24500,2023-01-01 07:00:00,115.0,299.0,CMH1
24501,2023-01-01 07:00:00,75.0,299.0,CMH1
24502,2023-01-01 07:00:00,60.0,299.0,CMH1
24503,2023-01-01 07:00:00,45.0,299.0,CMH1
24504,2023-01-01 07:00:00,40.65,299.0,CMH1
24505,2023-01-01 07:00:00,0.0,299.0,CMH1
24667,2023-01-02 07:00:00,999.99,299.0,CMH1
24668,2023-01-02 07:00:00,120.0,299.0,CMH1
24669,2023-01-02 07:00:00,90.0,299.0,CMH1
24670,2023-01-02 07:00:00,65.0,299.0,CMH1
24671,2023-01-02 07:00:00,50.0,299.0,CMH1
24672,2023-01-02 07:00:00,45.65,299.0,CMH1
24673,2023-01-02 07:00:00,0.0,299.0,CMH1
24835,2023-01-03 07:00:00,999.99,299.0,CMH1
24836,2023-01-03 07:00:00,120.0,299.0,CMH1
24837,2023-01-03 07:00:00,80.0,299.0,CMH1
24838,2023-01-03 07:00:00,65.0,299.0,CMH1
24839,2023-01-03 07:00:00,50.0,299.0,CMH1
24840,2023-01-03 07:00:00,45.65,299.0,CMH1
24841,2023-01-03 07:00:00,0.0,299.0,CMH1
25003,2023-01-04 07:00:00,999.99,299.0,CMH1
25004,2023-01-04 07:00:00,115.0,299.0,CMH1
25005,2023-01-04 07:00:00,75.0,299.0,CMH1
25006,2023-01-04 07:00:00,60.0,299.0,CMH1
25007,2023-01-04 07:00:00,45.0,299.0,CMH1
25008,2023-01-04 07:00:00,40.65,299.0,CMH1
25009,2023-01-04 07:00:00,0.0,299.0,CMH1
25171,2023-01-05 07:00:00,999.99,299.0,CMH1
25172,2023-01-05 07:00:00,115.0,299.0,CMH1
25173,2023-01-05 07:00:00,75.0,299.0,CMH1
25174,2023-01-05 07:00:00,60.0,299.0,CMH1
25175,2023-01-05 07:00:00,50.0,299.0,CMH1
25176,2023-01-05 07:00:00,45.65,299.0,CMH1
25177,2023-01-05 07:00:00,0.0,299.0,CMH1
25338,2023-01-06 07:00:00,999.99,299.0,CMH1
25339,2023-01-06 07:00:00,117.0,299.0,CMH1
25340,2023-01-06 07:00:00,77.0,299.0,CMH1
25341,2023-01-06 07:00:00,62.0,299.0,CMH1
25342,2023-01-06 07:00:00,47.0,299.0,CMH1
25343,2023-01-06 07:00:00,42.65,299.0,CMH1
25344,2023-01-06 07:00:00,0.0,299.0,CMH1
25506,2023-01-07 07:00:00,999.99,299.0,CMH1
25507,2023-01-07 07:00:00,85.0,299.0,CMH1
25508,2023-01-07 07:00:00,60.0,299.0,CMH1
25509,2023-01-07 07:00:00,50.0,299.0,CMH1
25510,2023-01-07 07:00:00,40.0,299.0,CMH1
25511,2023-01-07 07:00:00,35.65,299.0,CMH1
25512,2023-01-07 07:00:00,0.0,299.0,CMH1
25674,2023-01-08 07:00:00,999.99,299.0,CMH1
25675,2023-01-08 07:00:00,85.0,299.0,CMH1
25676,2023-01-08 07:00:00,60.0,299.0,CMH1
25677,2023-01-08 07:00:00,50.0,299.0,CMH1
25678,2023-01-08 07:00:00,40.0,299.0,CMH1
25679,2023-01-08 07:00:00,35.65,299.0,CMH1
25680,2023-01-08 07:00:00,0.0,299.0,CMH1
25842,2023-01-09 07:00:00,999.99,299.0,CMH1
25843,2023-01-09 07:00:00,85.0,299.0,CMH1
25844,2023-01-09 07:00:00,60.0,299.0,CMH1
25845,2023-01-09 07:00:00,50.0,299.0,CMH1
25846,2023-01-09 07:00:00,40.0,299.0,CMH1
25847,2023-01-09 07:00:00,35.65,299.0,CMH1
25848,2023-01-09 07:00:00,0.0,299.0,CMH1
26010,2023-01-10 07:00:00,999.99,299.0,CMH1
26011,2023-01-10 07:00:00,110.0,299.0,CMH1
26012,2023-01-10 07:00:00,70.0,299.0,CMH1
26013,2023-01-10 07:00:00,60.0,299.0,CMH1
26014,2023-01-10 07:00:00,50.0,299.0,CMH1
