,import_or_export,asset_ID,block_number,block_price,from_MW,to_MW,block_size,available_MW,dispatched?,dispatched_MW,flexible?,offer_control,begin_dateTime_mpt
0,,BHL1,1,999.99,3,5,2,2,N,0,Y,URICA Asset Optimization Ltd.,2023-01-01 00:00
1,,COD1,1,999.99,3,5,2,2,N,0,Y,Signalta Resources Limited,2023-01-01 00:00
2,,GEN5,2,999.99,10,12,2,2,N,0,Y,URICA Asset Optimization Ltd.,2023-01-01 00:00
3,,ME04,1,999.99,4,6,2,2,N,0,Y,URICA Asset Optimization Ltd.,2023-01-01 00:00
4,,ME03,1,999.99,4,7,3,3,N,0,Y,URICA Asset Optimization Ltd.,2023-01-01 00:00
5,,ALP1,1,999.99,4,7,3,3,N,0,Y,Campus Energy Partners LP,2023-01-01 00:00
6,,BFD1,1,999.99,3,6,3,3,N,0,N,BTG Power Corp.,2023-01-01 00:00
7,,ME02,1,999.99,4,8,4,4,N,0,Y,URICA Asset Optimization Ltd.,2023-01-01 00:00
8,,SDH1,1,999.99,5,10,5,5,N,0,Y,Tourmaline Oil Corp.,2023-01-01 00:00
9,,ALP2,1,999.99,5,10,5,5,N,0,Y,Campus Energy Partners LP,2023-01-01 00:00
10,,CMH1,6,999.99,266,275,9,9,N,0,N,City of Medicine Hat,2023-01-01 00:00
11,,BR5,6,999.99,385,395,10,0,N,0,Y,Heartland Generation Ltd.,2023-01-01 00:00
12,,ERV2,1,999.99,5,18,13,0,N,0,Y,URICA Asset Optimization Ltd.,2023-01-01 00:00
13,,SCR6,1,999.99,445,460,15,9,N,0,Y,Suncor Energy Inc.,2023-01-01 00:00
14,,ERV1,1,999.99,4,20,16,0,N,0,Y,URICA Asset Optimization Ltd.,2023-01-01 00:00
15,,GRZ1,1,999.99,0,26,26,26,N,0,N,Wild Run LP,2023-01-01 00:00
16,E,MGXM,0,999.99,0,63,63,63,Y,63,Y,MAG Energy Solutions Inc.,2023-01-01 00:00
17,E,PW20,0,999.99,0,435,435,435,Y,435,Y,Powerex Corp.,2023-01-01 00:00
18,,CRS3,2,999.91,31,43,12,2,N,0,Y,ENMAX Generation Portfolio Inc.,2023-01-01 00:00
19,,CRS3,1,999.90,0,31,31,31,N,0,N,ENMAX Generation Portfolio Inc.,2023-01-01 00:00
20,,BOW1,6,999.89,146,228,82,28,N,0,Y,TransAlta Energy Marketing Corp.,2023-01-01 00:00
