Unnamed: 0.1,Unnamed: 0,begin_dateTime_mpt,asset_ID,block_number,block_price,offer_control,date
10,10,2023-01-01 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-01
47,47,2023-01-01 00:00:00,EC01,2,490.01,ENMAX Cavalier LP,2023-01-01
238,238,2023-01-01 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-01
183,183,2023-01-01 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-01
5942,5942,2023-01-02 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-02
5976,5976,2023-01-02 00:00:00,EC01,2,490.01,ENMAX Cavalier LP,2023-01-02
6166,6166,2023-01-02 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-02
6111,6111,2023-01-02 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-02
11829,11829,2023-01-03 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-03
11887,11887,2023-01-03 00:00:00,EC01,2,68.02,ENMAX Cavalier LP,2023-01-03
12051,12051,2023-01-03 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-03
11996,11996,2023-01-03 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-03
17769,17769,2023-01-04 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-04
17830,17830,2023-01-04 00:00:00,EC01,2,65.91,ENMAX Cavalier LP,2023-01-04
17997,17997,2023-01-04 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-04
17943,17943,2023-01-04 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-04
23725,23725,2023-01-05 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-05
23783,23783,2023-01-05 00:00:00,EC01,2,68.1,ENMAX Cavalier LP,2023-01-05
23952,23952,2023-01-05 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-05
23897,23897,2023-01-05 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-05
28076,28076,2023-01-05 17:00:00,NX01,0,0.0,Nexen Inc.,2023-01-05
29624,29624,2023-01-06 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-06
34879,34879,2023-01-06 22:00:00,EC01,2,999.95,ENMAX Cavalier LP,2023-01-06
29845,29845,2023-01-06 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-06
29791,29791,2023-01-06 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-06
29782,29782,2023-01-06 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-06
40968,40968,2023-01-07 23:00:00,CAL1,4,905.0,Calgary Energy Centre No. 2 Inc.,2023-01-07
35334,35334,2023-01-07 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-07
36264,36264,2023-01-07 04:00:00,EC01,2,999.95,ENMAX Cavalier LP,2023-01-07
35551,35551,2023-01-07 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-07
35494,35494,2023-01-07 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-07
35495,35495,2023-01-07 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-07
41211,41211,2023-01-08 00:00:00,CAL1,5,910.0,Calgary Energy Centre No. 2 Inc.,2023-01-08
41186,41186,2023-01-08 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-08
42659,42659,2023-01-08 06:00:00,EC01,2,999.95,ENMAX Cavalier LP,2023-01-08
41415,41415,2023-01-08 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-08
41357,41357,2023-01-08 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-08
41359,41359,2023-01-08 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-08
48408,48408,2023-01-09 05:00:00,CAL1,5,999.98,Calgary Energy Centre No. 2 Inc.,2023-01-09
47174,47174,2023-01-09 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-09
52301,52301,2023-01-09 21:00:00,EC01,6,999.99,ENMAX Cavalier LP,2023-01-09
47404,47404,2023-01-09 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-09
47345,47345,2023-01-09 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-09
47346,47346,2023-01-09 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-09
58469,58469,2023-01-10 23:00:00,CAL1,5,910.1,Calgary Energy Centre No. 2 Inc.,2023-01-10
53002,53002,2023-01-10 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-10
53063,53063,2023-01-10 00:00:00,EC01,2,66.66,ENMAX Cavalier LP,2023-01-10
53226,53226,2023-01-10 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-10
53167,53167,2023-01-10 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-10
53168,53168,2023-01-10 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-10
58711,58711,2023-01-11 00:00:00,CAL1,5,910.0,Calgary Energy Centre No. 2 Inc.,2023-01-11
58693,58693,2023-01-11 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-11
58761,58761,2023-01-11 00:00:00,EC01,2,63.61,ENMAX Cavalier LP,2023-01-11
58924,58924,2023-01-11 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-11
58863,58863,2023-01-11 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-11
58865,58865,2023-01-11 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-11
64574,64574,2023-01-12 00:00:00,CAL1,5,910.0,Calgary Energy Centre No. 2 Inc.,2023-01-12
64546,64546,2023-01-12 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-12
64614,64614,2023-01-12 00:00:00,EC01,2,63.61,ENMAX Cavalier LP,2023-01-12
64781,64781,2023-01-12 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-12
64722,64722,2023-01-12 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-12
64724,64724,2023-01-12 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-12
70488,70488,2023-01-13 00:00:00,CAL1,5,910.0,Calgary Energy Centre No. 2 Inc.,2023-01-13
70460,70460,2023-01-13 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-13
70527,70527,2023-01-13 00:00:00,EC01,2,63.61,ENMAX Cavalier LP,2023-01-13
70695,70695,2023-01-13 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-13
70637,70637,2023-01-13 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-13
70638,70638,2023-01-13 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-13
76422,76422,2023-01-14 00:00:00,CAL1,5,999.98,Calgary Energy Centre No. 2 Inc.,2023-01-14
76410,76410,2023-01-14 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-14
76448,76448,2023-01-14 00:00:00,EC01,2,715.15,ENMAX Cavalier LP,2023-01-14
76644,76644,2023-01-14 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-14
76588,76588,2023-01-14 00:00:00,FNG1,0,0.0,Powerex Corp.,2023-01-14
76589,76589,2023-01-14 00:00:00,NX01,0,0.0,Nexen Inc.,2023-01-14
82422,82422,2023-01-15 00:00:00,CAL1,5,999.98,Calgary Energy Centre No. 2 Inc.,2023-01-15
82411,82411,2023-01-15 00:00:00,CMH1,6,999.99,City of Medicine Hat,2023-01-15
82478,82478,2023-01-15 00:00:00,EC01,2,63.61,ENMAX Cavalier LP,2023-01-15
82643,82643,2023-01-15 00:00:00,EGC1,0,0.0,Capital Power GP Holdings Inc.; ENMAX Energy Corporation,2023-01-15
