,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
0,2023-01-01 00:00,80.55,88.39,304.67
1,2023-01-01 01:00,80.84,102.36,304.57
2,2023-01-01 02:00,80.63,80.82,304.54
3,2023-01-01 03:00,79.76,80.61,304.39
4,2023-01-01 04:00,79.53,77.88,303.67
5,2023-01-01 05:00,80.59,80.3,303.62
6,2023-01-01 06:00,173.01,108.67,302.80
7,2023-01-01 07:00,91.54,79.46,302.13
8,2023-01-01 08:00,171.62,98.51,301.31
9,2023-01-01 09:00,80.89,108.42,300.95
10,2023-01-01 10:00,77.86,81.38,300.81
11,2023-01-01 11:00,71.43,70.11,300.66
12,2023-01-01 12:00,77.44,78.07,300.29
13,2023-01-01 13:00,73.65,78.9,299.81
14,2023-01-01 14:00,74.05,75.0,299.18
15,2023-01-01 15:00,81.41,79.61,298.40
16,2023-01-01 16:00,244.51,279.29,297.45
17,2023-01-01 17:00,121.26,97.33,296.23
18,2023-01-01 18:00,82.29,140.27,295.16
19,2023-01-01 19:00,79.77,80.76,294.19
20,2023-01-01 20:00,79.78,79.55,293.21
21,2023-01-01 21:00,80.24,81.42,292.25
22,2023-01-01 22:00,74.37,77.16,291.64
23,2023-01-01 23:00,73.06,72.27,291.06
24,2023-01-02 00:00,71.27,71.41,291.02
25,2023-01-02 01:00,71.24,76.07,290.98
26,2023-01-02 02:00,70.38,67.53,290.96
27,2023-01-02 03:00,71.01,71.82,290.94
28,2023-01-02 04:00,73.82,71.31,290.93
29,2023-01-02 05:00,78.69,77.97,290.91
30,2023-01-02 06:00,79.83,75.34,290.89
31,2023-01-02 07:00,66.18,71.18,290.86
32,2023-01-02 08:00,65.07,67.64,290.84
33,2023-01-02 09:00,73.95,79.81,290.85
34,2023-01-02 10:00,80.49,82.04,290.86
35,2023-01-02 11:00,158.67,92.05,290.97
36,2023-01-02 12:00,181.08,191.71,291.10
37,2023-01-02 13:00,95.70,167.81,291.12
38,2023-01-02 14:00,95.70,81.9,291.14
39,2023-01-02 15:00,235.45,104.62,291.35
40,2023-01-02 16:00,329.29,272.26,291.67
41,2023-01-02 17:00,563.57,805.0,292.33
42,2023-01-02 18:00,299.63,330.23,292.59
43,2023-01-02 19:00,145.49,194.31,292.63
44,2023-01-02 20:00,122.68,128.07,292.66
45,2023-01-02 21:00,118.93,147.8,292.69
46,2023-01-02 22:00,91.71,105.67,292.70
47,2023-01-02 23:00,80.43,81.57,292.69
48,2023-01-03 00:00,68.73,67.32,292.67
49,2023-01-03 01:00,65.34,60.99,292.65
50,2023-01-03 02:00,63.16,60.51,292.62
51,2023-01-03 03:00,64.19,59.89,292.60
52,2023-01-03 04:00,62.24,60.41,292.57
53,2023-01-03 05:00,66.45,61.56,292.55
54,2023-01-03 06:00,78.72,70.59,292.54
55,2023-01-03 07:00,80.00,78.96,292.53
56,2023-01-03 08:00,81.42,81.07,292.52
57,2023-01-03 09:00,80.16,80.64,292.50
58,2023-01-03 10:00,79.09,80.57,292.50
59,2023-01-03 11:00,78.69,72.01,292.50
60,2023-01-03 12:00,79.12,74.55,292.47
61,2023-01-03 13:00,79.04,79.01,292.07
62,2023-01-03 14:00,78.94,72.01,291.84
63,2023-01-03 15:00,121.72,81.18,291.07
64,2023-01-03 16:00,158.64,108.79,290.17
65,2023-01-03 17:00,265.17,266.68,289.47
66,2023-01-03 18:00,175.31,165.77,289.36
67,2023-01-03 19:00,122.49,83.42,289.36
68,2023-01-03 20:00,213.51,150.93,289.53
69,2023-01-03 21:00,110.21,147.82,289.52
70,2023-01-03 22:00,79.60,65.35,289.50
71,2023-01-03 23:00,69.48,64.78,289.46
72,2023-01-04 00:00,63.41,48.82,289.05
73,2023-01-04 01:00,73.08,70.91,288.87
74,2023-01-04 02:00,66.27,55.61,288.79
75,2023-01-04 03:00,65.68,64.18,288.61
76,2023-01-04 04:00,70.71,65.43,288.32
77,2023-01-04 05:00,67.59,68.92,288.24
78,2023-01-04 06:00,77.14,79.35,287.78
79,2023-01-04 07:00,79.55,79.57,287.57
80,2023-01-04 08:00,79.95,80.1,286.84
81,2023-01-04 09:00,79.33,79.01,286.52
82,2023-01-04 10:00,79.79,162.73,285.94
83,2023-01-04 11:00,80.73,78.26,285.84
84,2023-01-04 12:00,79.59,80.08,285.77
85,2023-01-04 13:00,78.29,78.19,285.70
86,2023-01-04 14:00,80.04,79.2,285.42
87,2023-01-04 15:00,87.93,66.75,284.89
88,2023-01-04 16:00,154.53,76.16,284.07
89,2023-01-04 17:00,464.40,485.93,283.73
90,2023-01-04 18:00,267.13,198.38,283.94
91,2023-01-04 19:00,80.97,78.63,283.94
92,2023-01-04 20:00,99.62,85.57,283.96
93,2023-01-04 21:00,173.77,525.51,284.07
94,2023-01-04 22:00,167.14,357.48,283.75
95,2023-01-04 23:00,78.76,77.48,283.31
96,2023-01-05 00:00,189.29,83.79,283.13
97,2023-01-05 01:00,169.51,384.48,283.24
98,2023-01-05 02:00,379.34,399.26,283.45
99,2023-01-05 03:00,190.53,160.92,283.17
100,2023-01-05 04:00,175.21,208.24,282.89
101,2023-01-05 05:00,395.30,351.05,283.18
102,2023-01-05 06:00,337.78,390.71,282.89
103,2023-01-05 07:00,393.11,525.56,282.60
104,2023-01-05 08:00,141.21,93.61,281.68
105,2023-01-05 09:00,114.93,226.66,280.84
106,2023-01-05 10:00,79.94,79.99,280.24
107,2023-01-05 11:00,79.89,79.33,279.90
108,2023-01-05 12:00,86.99,82.25,279.22
109,2023-01-05 13:00,416.94,555.41,279.10
110,2023-01-05 14:00,109.15,79.12,278.27
111,2023-01-05 15:00,257.08,414.02,277.64
112,2023-01-05 16:00,115.00,81.03,276.72
113,2023-01-05 17:00,87.83,81.76,275.73
114,2023-01-05 18:00,75.12,75.88,275.07
115,2023-01-05 19:00,75.06,76.16,275.04
116,2023-01-05 20:00,75.06,75.07,275.02
117,2023-01-05 21:00,77.82,83.34,275.00
118,2023-01-05 22:00,78.57,146.66,274.99
119,2023-01-05 23:00,75.11,73.71,274.99
120,2023-01-06 00:00,66.04,63.98,274.99
121,2023-01-06 01:00,66.65,65.54,274.97
122,2023-01-06 02:00,65.00,60.81,274.95
123,2023-01-06 03:00,65.31,62.0,274.93
124,2023-01-06 04:00,67.56,65.47,274.91
125,2023-01-06 05:00,71.03,69.93,274.89
126,2023-01-06 06:00,73.33,71.01,274.88
127,2023-01-06 07:00,83.88,76.11,274.88
128,2023-01-06 08:00,102.04,106.88,274.91
129,2023-01-06 09:00,98.56,86.11,274.93
130,2023-01-06 10:00,80.01,100.0,274.92
131,2023-01-06 11:00,169.28,86.11,275.04
132,2023-01-06 12:00,89.24,76.75,275.05
133,2023-01-06 13:00,76.47,75.99,275.04
134,2023-01-06 14:00,75.48,71.03,275.03
135,2023-01-06 15:00,151.39,76.79,275.12
136,2023-01-06 16:00,629.23,499.51,275.75
137,2023-01-06 17:00,380.78,304.94,275.63
138,2023-01-06 18:00,87.46,89.15,275.62
139,2023-01-06 19:00,76.59,76.31,275.60
140,2023-01-06 20:00,76.39,76.05,275.58
141,2023-01-06 21:00,83.83,118.92,275.56
142,2023-01-06 22:00,76.29,76.64,275.55
143,2023-01-06 23:00,76.20,75.96,275.53
144,2023-01-07 00:00,69.40,73.53,275.51
145,2023-01-07 01:00,69.38,66.17,275.50
146,2023-01-07 02:00,66.28,61.98,275.47
147,2023-01-07 03:00,69.07,70.04,275.46
148,2023-01-07 04:00,70.06,69.76,275.44
149,2023-01-07 05:00,69.02,68.01,275.42
150,2023-01-07 06:00,66.47,65.02,275.38
151,2023-01-07 07:00,66.30,60.65,275.31
152,2023-01-07 08:00,70.45,68.88,275.28
153,2023-01-07 09:00,73.80,73.08,275.27
154,2023-01-07 10:00,74.45,75.13,275.25
155,2023-01-07 11:00,69.55,71.27,275.22
156,2023-01-07 12:00,69.41,68.49,275.16
157,2023-01-07 13:00,70.59,63.26,275.14
158,2023-01-07 14:00,72.76,70.72,275.12
159,2023-01-07 15:00,75.16,70.67,275.11
160,2023-01-07 16:00,205.15,76.28,275.27
161,2023-01-07 17:00,297.91,305.69,275.56
162,2023-01-07 18:00,102.26,76.61,275.56
163,2023-01-07 19:00,81.22,197.64,275.49
164,2023-01-07 20:00,77.00,78.33,275.46
165,2023-01-07 21:00,76.97,76.88,275.43
166,2023-01-07 22:00,75.29,78.33,275.40
167,2023-01-07 23:00,76.15,75.83,275.34
168,2023-01-08 00:00,76.22,76.52,275.32
169,2023-01-08 01:00,76.83,76.71,275.30
170,2023-01-08 02:00,77.24,76.32,275.28
171,2023-01-08 03:00,85.11,76.99,275.26
172,2023-01-08 04:00,82.67,76.45,275.25
